"id","post.test.score","pre.test.score","messages","forum.posts","av.assignment.score","level.up"
1,0.37,0.48,68,7,0.19,"no"
2,0.52,0.37,83,22,0.28,"yes"
3,0.42,0.37,81,7,0.25,"no"
4,0.56,0.34,94,14,0.27,"yes"
5,0.25,0.39,42,11,0.07,"no"
6,0.35,0.48,60,11,0.16,"no"
7,0.4,0.26,71,10,0.13,"no"
8,0.45,0.39,70,10,0.29,"no"
9,0.39,0.28,64,4,0.27,"no"
10,0.47,0.41,72,7,0.24,"no"
11,0.38,0.5,67,14,0.25,"no"
12,0.35,0.36,54,3,0.17,"no"
13,0.39,0.56,77,16,0.25,"no"
14,0.51,0.3,91,7,0.28,"yes"
15,0.33,0.45,65,15,0.14,"no"
16,0.32,0.34,49,3,0.17,"no"
17,0.37,0.42,63,8,0.19,"no"
18,0.53,0.49,87,12,0.3,"yes"
19,0.45,0.43,77,10,0.26,"no"
20,0.41,0.46,82,7,0.22,"no"
21,0.55,0.47,100,21,0.43,"yes"
22,0.46,0.45,84,12,0.23,"no"
23,0.46,0.33,80,8,0.24,"no"
24,0.46,0.4,83,5,0.19,"no"
25,0.38,0.47,72,9,0.24,"no"
26,0.34,0.36,60,9,0.17,"no"
27,0.39,0.5,60,9,0.22,"no"
28,0.4,0.42,61,11,0.17,"no"
29,0.44,0.44,73,8,0.26,"no"
30,0.23,0.37,45,5,0.14,"no"
31,0.43,0.45,80,17,0.15,"no"
32,0.37,0.5,60,12,0.24,"no"
33,0.42,0.52,69,2,0.2,"no"
34,0.43,0.5,78,5,0.24,"no"
35,0.4,0.49,61,17,0.18,"no"
36,0.34,0.45,57,4,0.16,"no"
37,0.29,0.46,45,8,0.16,"no"
38,0.38,0.39,76,8,0.16,"no"
39,0.41,0.41,71,18,0.23,"no"
40,0.42,0.41,64,13,0.21,"no"
41,0.37,0.37,71,9,0.14,"no"
42,0.47,0.27,72,19,0.33,"yes"
43,0.47,0.4,77,5,0.12,"no"
44,0.36,0.39,63,10,0.2,"no"
45,0.23,0.48,35,6,0.11,"no"
46,0.41,0.36,75,5,0.14,"no"
47,0.35,0.23,58,4,0.18,"no"
48,0.39,0.45,59,12,0.2,"no"
49,0.42,0.4,79,12,0.17,"no"
50,0.46,0.49,73,20,0.13,"no"
51,0.31,0.43,61,3,0.15,"no"
52,0.49,0.5,97,11,0.28,"yes"
53,0.41,0.48,65,11,0.2,"no"
54,0.35,0.45,60,9,0.13,"no"
55,0.36,0.54,66,16,0.2,"no"
56,0.31,0.4,49,10,0.17,"no"
57,0.56,0.49,96,14,0.28,"yes"
58,0.37,0.39,62,15,0.21,"no"
59,0.39,0.48,65,6,0.19,"no"
60,0.33,0.31,63,2,0.19,"no"
61,0.39,0.31,73,4,0.22,"no"
62,0.32,0.37,58,5,0.11,"no"
63,0.38,0.27,72,7,0.2,"no"
64,0.35,0.38,67,4,0.19,"no"
65,0.4,0.4,68,7,0.25,"no"
66,0.31,0.33,48,13,0.14,"no"
67,0.4,0.43,72,5,0.2,"no"
68,0.4,0.41,74,18,0.22,"no"
69,0.24,0.44,47,10,0.12,"no"
70,0.32,0.37,63,9,0.12,"no"
71,0.33,0.4,58,11,0.15,"no"
72,0.32,0.44,60,9,0.16,"no"
73,0.43,0.47,73,7,0.24,"no"
74,0.36,0.37,57,8,0.17,"no"
75,0.39,0.41,71,14,0.23,"no"
76,0.27,0.36,53,7,0.19,"no"
77,0.45,0.37,87,15,0.18,"no"
78,0.43,0.44,70,17,0.22,"no"
79,0.36,0.47,56,7,0.24,"no"
80,0.39,0.23,70,15,0.25,"no"
81,0.4,0.32,76,9,0.18,"no"
82,0.47,0.48,81,3,0.25,"no"
83,0.43,0.36,65,8,0.21,"no"
84,0.43,0.43,78,15,0.19,"no"
85,0.41,0.36,74,7,0.29,"no"
86,0.54,0.44,108,20,0.3,"yes"
87,0.33,0.36,64,10,0.13,"no"
88,0.42,0.44,73,8,0.24,"no"
89,0.38,0.37,70,8,0.23,"no"
90,0.47,0.33,88,13,0.22,"no"
91,0.25,0.42,42,5,0.1,"no"
92,0.37,0.46,68,11,0.21,"no"
93,0.4,0.36,65,4,0.2,"no"
94,0.36,0.48,67,15,0.18,"no"
95,0.44,0.39,73,9,0.2,"no"
96,0.51,0.36,81,21,0.31,"yes"
97,0.43,0.35,78,10,0.22,"no"
98,0.37,0.43,61,9,0.18,"no"
99,0.48,0.45,83,19,0.19,"no"
100,0.54,0.46,98,19,0.27,"yes"
101,0.44,0.32,86,7,0.19,"no"
102,0.44,0.47,69,17,0.21,"no"
103,0.29,0.49,49,8,0.14,"no"
104,0.39,0.41,76,7,0.21,"no"
105,0.34,0.36,63,8,0.2,"no"
106,0.41,0.29,80,3,0.24,"no"
107,0.39,0.27,78,10,0.16,"no"
108,0.33,0.46,50,3,0.15,"no"
109,0.44,0.4,79,14,0.26,"no"
110,0.4,0.45,68,17,0.26,"no"
111,0.37,0.43,66,8,0.23,"no"
112,0.47,0.34,92,9,0.18,"no"
113,0.35,0.35,58,9,0.22,"no"
114,0.42,0.41,72,2,0.3,"no"
115,0.48,0.4,85,6,0.27,"yes"
116,0.45,0.45,84,13,0.22,"no"
117,0.43,0.52,85,17,0.25,"no"
118,0.32,0.33,59,4,0.19,"no"
119,0.34,0.24,64,4,0.16,"no"
120,0.26,0.39,50,6,0.11,"no"
121,0.38,0.34,58,11,0.21,"no"
122,0.44,0.57,78,19,0.22,"no"
123,0.29,0.32,51,4,0.16,"no"
124,0.35,0.45,58,6,0.19,"no"
125,0.51,0.25,84,18,0.28,"yes"
126,0.47,0.43,84,7,0.17,"no"
127,0.38,0.25,73,8,0.15,"no"
128,0.46,0.47,91,14,0.21,"no"
129,0.42,0.38,68,4,0.24,"no"
130,0.44,0.23,76,9,0.17,"no"
131,0.47,0.4,84,14,0.29,"yes"
132,0.49,0.54,77,6,0.24,"no"
133,0.43,0.28,80,11,0.18,"no"
134,0.37,0.37,73,6,0.19,"no"
135,0.37,0.41,62,10,0.12,"no"
136,0.4,0.41,63,17,0.17,"no"
137,0.37,0.44,67,7,0.11,"no"
138,0.36,0.41,66,14,0.18,"no"
139,0.36,0.36,63,8,0.2,"no"
140,0.39,0.5,66,8,0.25,"no"
141,0.46,0.5,71,7,0.26,"yes"
142,0.51,0.36,91,7,0.37,"yes"
143,0.36,0.35,66,8,0.17,"no"
144,0.38,0.46,63,12,0.21,"no"
145,0.47,0.46,84,11,0.2,"no"
146,0.34,0.39,57,13,0.16,"no"
147,0.34,0.34,55,4,0.15,"no"
148,0.29,0.49,56,5,0.15,"no"
149,0.31,0.57,50,14,0.12,"no"
150,0.42,0.31,72,2,0.27,"no"
151,0.31,0.31,51,9,0.25,"no"
152,0.26,0.44,40,10,0.11,"no"
153,0.31,0.37,57,13,0.16,"no"
154,0.32,0.36,52,2,0.15,"no"
155,0.48,0.52,81,6,0.18,"no"
156,0.4,0.33,67,12,0.19,"no"
157,0.37,0.43,70,8,0.2,"no"
158,0.48,0.5,72,14,0.41,"yes"
159,0.34,0.31,64,6,0.12,"no"
160,0.42,0.4,73,14,0.19,"no"
161,0.41,0.24,73,6,0.29,"no"
162,0.42,0.31,74,8,0.19,"no"
163,0.33,0.33,60,9,0.16,"no"
164,0.39,0.38,73,9,0.19,"no"
165,0.37,0.38,62,13,0.2,"no"
166,0.34,0.31,67,12,0.12,"no"
167,0.45,0.35,86,9,0.19,"no"
168,0.35,0.49,70,8,0.19,"no"
169,0.35,0.45,58,3,0.22,"no"
170,0.29,0.39,46,12,0.14,"no"
171,0.39,0.44,72,3,0.14,"no"
172,0.48,0.29,96,14,0.24,"no"
173,0.43,0.43,77,9,0.21,"no"
174,0.46,0.47,89,18,0.16,"no"
175,0.35,0.41,54,13,0.2,"no"
176,0.3,0.35,47,8,0.14,"no"
177,0.41,0.29,73,11,0.16,"no"
178,0.38,0.31,57,5,0.18,"no"
179,0.41,0.29,64,13,0.22,"no"
180,0.38,0.5,60,13,0.25,"no"
181,0.45,0.45,81,5,0.22,"no"
182,0.41,0.22,82,16,0.23,"no"
183,0.37,0.41,72,11,0.11,"no"
184,0.4,0.36,71,9,0.23,"no"
185,0.34,0.33,54,11,0.15,"no"
186,0.39,0.51,59,2,0.19,"no"
187,0.34,0.44,62,11,0.19,"no"
188,0.47,0.38,75,14,0.19,"no"
189,0.42,0.54,83,2,0.22,"no"
190,0.51,0.42,77,7,0.29,"yes"
191,0.43,0.53,66,14,0.24,"no"
192,0.47,0.47,76,21,0.22,"no"
193,0.46,0.49,78,16,0.19,"no"
194,0.41,0.49,75,3,0.23,"no"
195,0.44,0.46,68,8,0.3,"no"
196,0.43,0.36,80,8,0.25,"no"
197,0.5,0.41,75,17,0.23,"no"
198,0.38,0.36,59,13,0.17,"no"
199,0.39,0.38,71,11,0.22,"no"
200,0.49,0.38,92,14,0.22,"no"
201,0.3,0.34,55,3,0.19,"no"
202,0.44,0.39,73,16,0.25,"no"
203,0.4,0.42,72,10,0.21,"no"
204,0.43,0.35,73,7,0.16,"no"
205,0.42,0.48,67,5,0.27,"no"
206,0.37,0.46,71,11,0.23,"no"
207,0.44,0.44,78,7,0.18,"no"
208,0.39,0.45,72,9,0.21,"no"
209,0.36,0.39,67,8,0.16,"no"
210,0.52,0.3,82,5,0.24,"no"
211,0.45,0.4,90,11,0.21,"no"
212,0.47,0.33,71,15,0.27,"yes"
213,0.4,0.34,62,8,0.24,"no"
214,0.38,0.46,61,12,0.14,"no"
215,0.36,0.37,59,2,0.2,"no"
216,0.35,0.4,61,14,0.2,"no"
217,0.49,0.4,85,15,0.28,"yes"
218,0.45,0.45,68,7,0.19,"no"
219,0.38,0.48,70,7,0.15,"no"
220,0.38,0.5,73,2,0.23,"no"
221,0.41,0.49,68,17,0.28,"no"
222,0.47,0.5,76,3,0.19,"no"
223,0.36,0.42,54,14,0.16,"no"
224,0.28,0.61,44,11,0.15,"no"
225,0.47,0.45,86,17,0.27,"yes"
226,0.3,0.54,48,10,0.16,"no"
227,0.28,0.38,45,13,0.13,"no"
228,0.42,0.36,74,9,0.25,"no"
229,0.42,0.49,80,13,0.17,"no"
230,0.39,0.42,72,11,0.18,"no"
231,0.4,0.39,74,12,0.23,"no"
232,0.3,0.48,52,8,0.12,"no"
233,0.31,0.41,60,2,0.17,"no"
234,0.33,0.31,50,5,0.2,"no"
235,0.37,0.5,71,16,0.17,"no"
236,0.39,0.4,66,3,0.23,"no"
237,0.35,0.32,64,9,0.2,"no"
238,0.4,0.48,60,5,0.17,"no"
239,0.37,0.26,56,3,0.18,"no"
240,0.32,0.41,52,9,0.16,"no"
241,0.44,0.43,69,9,0.13,"no"
242,0.61,0.43,98,18,0.43,"yes"
243,0.28,0.25,51,7,0.17,"no"
244,0.46,0.4,75,3,0.16,"no"
245,0.5,0.39,88,22,0.32,"yes"
246,0.4,0.22,76,7,0.2,"no"
247,0.32,0.45,61,7,0.14,"no"
248,0.4,0.36,60,6,0.21,"no"
249,0.47,0.43,78,16,0.27,"yes"
250,0.41,0.43,68,7,0.2,"no"
251,0.46,0.3,73,7,0.15,"no"
252,0.35,0.31,54,2,0.22,"no"
253,0.25,0.52,40,6,0.09,"no"
254,0.36,0.41,67,12,0.16,"no"
255,0.39,0.38,73,16,0.18,"no"
256,0.49,0.32,75,11,0.25,"no"
257,0.45,0.42,90,4,0.26,"no"
258,0.31,0.38,57,4,0.14,"no"
259,0.41,0.3,77,11,0.13,"no"
260,0.46,0.51,74,15,0.23,"no"
261,0.35,0.45,70,8,0.2,"no"
262,0.46,0.41,81,18,0.29,"yes"
263,0.34,0.38,67,11,0.17,"no"
264,0.36,0.27,56,14,0.12,"no"
265,0.35,0.42,63,16,0.21,"no"
266,0.44,0.39,87,14,0.29,"no"
267,0.44,0.37,87,4,0.19,"no"
268,0.52,0.37,94,17,0.29,"yes"
269,0.3,0.4,58,3,0.12,"no"
270,0.4,0.5,64,3,0.29,"no"
271,0.41,0.43,70,11,0.21,"no"
272,0.3,0.47,45,6,0.14,"no"
273,0.33,0.45,55,8,0.13,"no"
274,0.35,0.45,66,10,0.18,"no"
275,0.43,0.46,68,11,0.27,"no"
276,0.54,0.36,91,18,0.29,"yes"
277,0.31,0.36,49,5,0.17,"no"
278,0.35,0.36,67,9,0.13,"no"
279,0.3,0.5,51,2,0.16,"no"
280,0.32,0.42,48,10,0.15,"no"
281,0.48,0.48,93,5,0.19,"no"
282,0.47,0.48,83,5,0.19,"no"
283,0.39,0.21,72,11,0.16,"no"
284,0.46,0.42,78,12,0.2,"no"
285,0.38,0.43,58,6,0.18,"no"
286,0.41,0.45,74,17,0.22,"no"
287,0.37,0.45,63,2,0.18,"no"
288,0.34,0.41,59,13,0.07,"no"
289,0.36,0.5,62,7,0.25,"no"
290,0.35,0.35,67,6,0.22,"no"
291,0.44,0.41,67,17,0.18,"no"
292,0.3,0.38,58,10,0.18,"no"
293,0.37,0.41,57,8,0.2,"no"
294,0.43,0.44,67,15,0.2,"no"
295,0.36,0.38,68,12,0.15,"no"
296,0.43,0.45,76,15,0.17,"no"
297,0.4,0.27,74,15,0.24,"no"
298,0.34,0.2,62,7,0.14,"no"
299,0.27,0.41,44,9,0.15,"no"
300,0.47,0.33,85,13,0.24,"no"
301,0.33,0.4,52,12,0.13,"no"
302,0.48,0.49,95,10,0.25,"no"
303,0.38,0.37,57,4,0.17,"no"
304,0.42,0.28,76,3,0.2,"no"
305,0.3,0.41,52,14,0.1,"no"
306,0.21,0.4,37,9,0.08,"no"
307,0.42,0.45,66,13,0.16,"no"
308,0.39,0.48,74,5,0.21,"no"
309,0.4,0.38,70,10,0.22,"no"
310,0.52,0.35,80,22,0.32,"yes"
311,0.37,0.41,70,11,0.18,"no"
312,0.44,0.36,73,16,0.26,"no"
313,0.35,0.51,69,9,0.19,"no"
314,0.46,0.39,71,9,0.16,"no"
315,0.44,0.41,76,6,0.21,"no"
316,0.44,0.45,69,16,0.24,"no"
317,0.32,0.37,56,5,0.14,"no"
318,0.37,0.42,61,14,0.19,"no"
319,0.36,0.45,56,11,0.16,"no"
320,0.36,0.33,68,11,0.13,"no"
321,0.42,0.34,72,10,0.2,"no"
322,0.26,0.41,42,4,0.11,"no"
323,0.42,0.4,70,10,0.2,"no"
324,0.45,0.37,71,9,0.24,"no"
325,0.49,0.4,98,14,0.23,"no"
326,0.33,0.32,50,6,0.18,"no"
327,0.41,0.44,73,16,0.15,"no"
328,0.37,0.39,59,14,0.2,"no"
329,0.34,0.37,60,15,0.18,"no"
330,0.29,0.48,46,10,0.17,"no"
331,0.34,0.36,64,5,0.19,"no"
332,0.45,0.29,87,7,0.22,"no"
333,0.36,0.35,68,8,0.18,"no"
334,0.41,0.41,70,16,0.19,"no"
335,0.36,0.39,70,3,0.21,"no"
336,0.55,0.49,85,9,0.27,"yes"
337,0.46,0.39,80,14,0.22,"no"
338,0.4,0.4,80,2,0.22,"no"
339,0.5,0.28,82,5,0.13,"no"
340,0.39,0.4,59,8,0.21,"no"
341,0.36,0.32,69,6,0.14,"no"
342,0.42,0.49,78,10,0.2,"no"
343,0.39,0.31,61,5,0.22,"no"
344,0.45,0.4,79,4,0.24,"no"
345,0.3,0.37,50,2,0.1,"no"
346,0.43,0.51,66,19,0.2,"no"
347,0.42,0.35,82,14,0.19,"no"
348,0.41,0.45,77,9,0.27,"no"
349,0.48,0.4,72,18,0.21,"no"
350,0.33,0.35,50,5,0.16,"no"
351,0.48,0.34,93,12,0.23,"no"
352,0.38,0.37,70,4,0.19,"no"
353,0.45,0.42,68,19,0.23,"no"
354,0.44,0.42,86,9,0.25,"no"
355,0.39,0.51,64,12,0.18,"no"
356,0.46,0.48,76,20,0.2,"no"
357,0.35,0.32,63,2,0.1,"no"
358,0.5,0.37,98,16,0.28,"yes"
359,0.39,0.36,70,11,0.24,"no"
360,0.38,0.42,76,14,0.19,"no"
361,0.46,0.44,73,7,0.23,"no"
362,0.43,0.32,80,12,0.16,"no"
363,0.49,0.51,96,6,0.14,"no"
364,0.42,0.44,74,17,0.19,"no"
365,0.36,0.46,67,14,0.14,"no"
366,0.34,0.37,57,2,0.16,"no"
367,0.46,0.36,87,7,0.29,"yes"
368,0.43,0.38,78,14,0.29,"no"
369,0.23,0.29,46,10,0.13,"no"
370,0.44,0.45,76,19,0.26,"no"
371,0.44,0.42,85,2,0.19,"no"
372,0.28,0.36,45,9,0.13,"no"
373,0.42,0.4,68,7,0.18,"no"
374,0.35,0.43,59,4,0.19,"no"
375,0.52,0.41,94,18,0.21,"no"
376,0.47,0.39,84,5,0.31,"yes"
377,0.25,0.38,41,6,0.14,"no"
378,0.45,0.42,86,4,0.12,"no"
379,0.43,0.3,72,3,0.24,"no"
380,0.38,0.41,76,10,0.19,"no"
381,0.42,0.37,80,9,0.21,"no"
382,0.39,0.27,69,2,0.14,"no"
383,0.35,0.3,58,3,0.12,"no"
384,0.48,0.43,87,13,0.31,"yes"
385,0.33,0.3,50,14,0.21,"no"
386,0.37,0.49,68,13,0.22,"no"
387,0.36,0.42,63,11,0.2,"no"
388,0.39,0.39,78,3,0.16,"no"
389,0.36,0.36,60,13,0.2,"no"
390,0.38,0.36,63,5,0.1,"no"
391,0.46,0.53,88,8,0.25,"no"
392,0.34,0.43,62,13,0.19,"no"
393,0.4,0.34,64,17,0.2,"no"
394,0.32,0.31,54,3,0.16,"no"
395,0.36,0.38,58,11,0.16,"no"
396,0.49,0.58,91,5,0.28,"yes"
397,0.29,0.4,46,8,0.15,"no"
398,0.48,0.38,78,17,0.28,"yes"
399,0.32,0.42,50,13,0.12,"no"
400,0.51,0.49,99,8,0.22,"no"
401,0.39,0.33,64,12,0.21,"no"
402,0.46,0.5,83,14,0.2,"no"
403,0.37,0.48,63,15,0.25,"no"
404,0.4,0.44,60,12,0.21,"no"
405,0.39,0.49,65,17,0.15,"no"
406,0.44,0.37,73,9,0.18,"no"
407,0.48,0.45,94,15,0.23,"no"
408,0.37,0.29,58,2,0.2,"no"
409,0.29,0.4,48,11,0.14,"no"
410,0.36,0.33,70,6,0.18,"no"
411,0.22,0.42,33,4,0.09,"no"
412,0.37,0.38,60,9,0.19,"no"
413,0.43,0.4,65,6,0.22,"no"
414,0.48,0.36,74,4,0.28,"yes"
415,0.32,0.24,61,8,0.21,"no"
416,0.43,0.2,72,2,0.23,"no"
417,0.55,0.37,102,23,0.24,"no"
418,0.4,0.33,67,13,0.22,"no"
419,0.38,0.43,72,17,0.19,"no"
420,0.4,0.4,66,7,0.17,"no"
421,0.34,0.32,55,12,0.18,"no"
422,0.36,0.54,68,10,0.21,"no"
423,0.35,0.42,63,13,0.2,"no"
424,0.57,0.43,108,20,0.35,"yes"
425,0.31,0.35,61,9,0.14,"no"
426,0.33,0.54,57,7,0.2,"no"
427,0.49,0.44,94,10,0.27,"yes"
428,0.42,0.51,68,18,0.21,"no"
429,0.5,0.33,92,14,0.25,"no"
430,0.43,0.38,68,4,0.18,"no"
431,0.47,0.43,72,9,0.27,"yes"
432,0.28,0.58,56,11,0.14,"no"
433,0.47,0.35,78,10,0.16,"no"
434,0.34,0.33,57,12,0.18,"no"
435,0.3,0.36,55,14,0.16,"no"
436,0.35,0.37,66,15,0.16,"no"
437,0.43,0.54,66,5,0.25,"no"
438,0.34,0.43,52,8,0.17,"no"
439,0.52,0.41,89,20,0.31,"yes"
440,0.43,0.26,76,12,0.2,"no"
441,0.41,0.39,72,17,0.18,"no"
442,0.5,0.29,78,9,0.15,"no"
443,0.5,0.37,84,18,0.24,"no"
444,0.35,0.23,65,12,0.2,"no"
445,0.32,0.47,62,3,0.2,"no"
446,0.36,0.46,69,13,0.13,"no"
447,0.37,0.33,63,12,0.22,"no"
448,0.35,0.29,66,8,0.21,"no"
449,0.44,0.37,66,13,0.27,"no"
450,0.33,0.47,50,5,0.18,"no"
451,0.34,0.52,51,3,0.21,"no"
452,0.33,0.41,56,12,0.17,"no"
453,0.32,0.37,51,11,0.18,"no"
454,0.35,0.43,58,8,0.23,"no"
455,0.38,0.37,60,17,0.25,"no"
456,0.35,0.26,67,6,0.15,"no"
457,0.38,0.34,61,5,0.16,"no"
458,0.38,0.37,61,13,0.18,"no"
459,0.35,0.36,54,7,0.17,"no"
460,0.48,0.4,85,15,0.2,"no"
461,0.41,0.51,64,16,0.19,"no"
462,0.55,0.39,105,3,0.31,"yes"
463,0.31,0.48,48,7,0.14,"no"
464,0.44,0.45,75,4,0.16,"no"
465,0.34,0.4,59,16,0.17,"no"
466,0.5,0.38,94,8,0.27,"yes"
467,0.31,0.36,61,7,0.12,"no"
468,0.43,0.35,76,5,0.14,"no"
469,0.32,0.32,59,11,0.18,"no"
470,0.51,0.49,82,11,0.25,"no"
471,0.41,0.4,70,10,0.2,"no"
472,0.48,0.23,96,3,0.24,"no"
473,0.49,0.37,94,7,0.16,"no"
474,0.42,0.32,74,9,0.2,"no"
475,0.33,0.33,63,6,0.12,"no"
476,0.43,0.35,84,13,0.24,"no"
477,0.42,0.48,77,2,0.23,"no"
478,0.38,0.46,68,13,0.15,"no"
479,0.55,0.38,108,3,0.21,"no"
480,0.39,0.43,77,14,0.24,"no"
481,0.5,0.35,88,12,0.29,"yes"
482,0.38,0.36,62,12,0.21,"no"
483,0.45,0.41,69,7,0.29,"no"
484,0.36,0.29,62,7,0.21,"no"
485,0.41,0.17,80,9,0.17,"no"
486,0.43,0.5,65,9,0.18,"no"
487,0.48,0.4,74,13,0.17,"no"
488,0.47,0.24,87,18,0.27,"yes"
489,0.4,0.33,78,17,0.21,"no"
490,0.44,0.49,73,15,0.16,"no"
491,0.31,0.42,47,11,0.18,"no"
492,0.38,0.55,66,10,0.2,"no"
493,0.4,0.45,78,18,0.24,"no"
494,0.29,0.52,46,4,0.15,"no"
495,0.49,0.53,95,11,0.19,"no"
496,0.48,0.4,73,16,0.28,"yes"
497,0.36,0.37,62,4,0.16,"no"
498,0.5,0.49,86,13,0.23,"no"
499,0.48,0.48,76,20,0.33,"yes"
500,0.48,0.36,78,3,0.29,"yes"
501,0.54,0.52,101,15,0.23,"no"
502,0.45,0.66,71,2,0.26,"no"
503,0.56,0.69,112,14,0.22,"no"
504,0.61,0.49,95,9,0.23,"no"
505,0.65,0.56,103,3,0.43,"yes"
506,0.68,0.56,112,26,0.34,"yes"
507,0.54,0.6,87,4,0.27,"yes"
508,0.53,0.61,89,18,0.2,"no"
509,0.63,0.59,113,3,0.23,"no"
510,0.54,0.43,91,4,0.3,"yes"
511,0.59,0.56,104,8,0.24,"no"
